nearctic,north america,
neotropical,central/south america,
palearctic,eurasia,
ethiopian,africa,
oriental,tropical asia,
australian,australia/new zealand,
madagascan,madagascar,
cosmopolitan,worldwide,
holarctic,arctic,
freshwater,low salt concentration,
saltwater,high salt concentration,
island endemic,constrained to an island,
