zoo_name,city,state,address,latitude,longitude,num_animals,acres,hour_open,hour_close,annual_visitors,website,
Henry Vilas Zoo,Madison,WI,702 S Randall Ave,43.06,-89.411,,28,9:30,17:00,725000,http://www.vilaszoo.org/,
Henson Robinson Zoo,Springfield,IL,1100 E Lake Shore Dr,39.7275,-89.5828,300,87,10:00,17:00,85000,http://www.springfieldparks.org/facilities/hensonrobinsonzoo/,
Houston Zoo,Houston,TX,6200 Hermann Park Dr,29.7161,-95.3901,6000,55,9:00,18:00,1800000,http://www.houstonzoo.org/,
Hutchinson Zoo,Hutchinson,KA,6 Emerson Loop,38.0291,-97.9167,160,9,10:00,16:45,185000,http://www.hutchgov.com/817/Hutchinson-Zoo,
Idaho Falls Zoo at Tautphaus Park,Idaho Falls,ID,2725 Carnival Way,43.4917,-112.0764,400,,9:00,17:00,125000,http://www.idahofallsidaho.gov/city/city-departments/parks-recreation/parks-recreation-zoo.html,
Indianapolis Zoo,Indianapolis,IN,1200 W Washington St,39.768,-86.1806,3800,64,9:00,16:00,1250000,http://www.indianapoliszoo.com/SitePages/Home.aspx,
International Crane Foundation,Baraboo,WI,E-11376 Shady Lane Rd,43.54678,-89.75584,100,225,9:00,17:00,25000,https://www.savingcranes.org/,
Jacksonville Zoo and Gardens,Jacksonville,FL,370 Zoo Pkwy,30.4032,-81.6441,2400,117,9:00,17:00,800000,http://www.jacksonvillezoo.org/,
John Ball Zoo,Grand Rapids,MI,1300 W. Fulton St,42.9622,-85.7046,1200,140,10:00,16:00,515000,http://www.jbzoo.org/,
Kansas City Zoo,Kansas City,MO,6800 Zoo Dr,39.0065,-94.5277,1300,202,9:30,16:00,715000,https://www.kansascityzoo.org/,
Lake Superior Zoo,Duluth,MN,7210 Fremont St,46.7258,-92.1905,,16,10:00,17:00,100000,http://www.lszooduluth.org/,
Lee G. Simmons Conservation Park and Wildlife Safari,Ashland,NE,16406 292nd St,41.0097,-96.3026,,440,9:00,17:00,,http://www.wildlifesafaripark.com/,
Lee Richardson Zoo,Garden City,KA,312 E Finnup Dr,37.9594,-100.8733,300,47,8:00,19:00,180000,http://leerichardsonzoo.org/,
Lehigh Valley Zoo,Schnecksville,PA,5150 Game Preserve Rd,40.6586,-75.6257,275,29,10:00,16:00,125000,https://www.lvzoo.org/,
Lincoln Children's Zoo,Lincoln,NE,1222 S 27th St,40.8006,-96.6795,300,10,10:00,17:00,185000,http://www.lincolnzoo.org/,
Lincoln Park Zoo,Chicago,Il,2001 N Clark St,41.9211,-87.634,1100,35,10:00,17:00,3500000,http://www.lpzoo.org/,
Lion Country Safari,Loxahatchee,FL,2003 Lion Country Safari Rd,26.7162,-80.3222,900,260,10:00,17:00,450000,https://www.lioncountrysafari.com/,
Little Rock Zoo,Little Rock,AZ,1 Zoo Dr,34.7465,-92.3317,725,33,9:00,16:00,290000,http://www.littlerockzoo.com/,
Living Desert Zoo and Gardens State Park,Carlsbad,NM,1504 Miehls Rd,32.4417,-104.277,430,1500,9:00,17:00,50000,http://www.emnrd.state.nm.us/SPD/livingdesertstatepark.html,
The Living Desert Zoo and Gardens,Palm Desert,CA,47900 Portola Ave,33.7,-116.3735,,1200,8:00,13:30,350000,http://www.livingdesert.org/,
Los Angeles Zoo,Los Angeles,CA,5333 Zoo Dr,34.1484,-118.2841,1100,133,10:00,17:00,1750000,http://www.lazoo.org/,
Louisville Zoo,Louisville,KY,1100 Trevilian Way,38.2056,-85.7072,1700,135,10:00,17:00,870000,https://louisvillezoo.org/,
Lowry Park Zoo,Tampa,FL,1101 W. Sligh Ave,28.013,-82.4694,1200,63,9:30,17:00,1100000,http://www.lowryparkzoo.org/,
The Maryland Zoo in Baltimore,Baltimore,MD,1876 Mansion House Dr,39.3227,-76.6498,2000,135,10:00,16:00,400000,http://www.marylandzoo.org/,
Memphis Zoo,Memphis,TN,2000 Prentiss Pl,35.1501,-89.9944,2800,70,9:00,17:00,1000000,http://www.memphiszoo.org/,
Mesker Park Zoo and Botanic Garden,Evansville,IN,1545 Mesker Park Dr,37.9964,-87.6056,700,50,9:30,16:00,200000,http://www.meskerparkzoo.com/,
Mill Mountain Zoo,Roanoke,VA,2404 Prospect Rd SE,37.2479,-79.9366,160,33,10:00,5:00,110000,http://www.mmzoo.org/,
Miller Park Zoo,Bloomington,IL,1020 S Morris Ave,40.4696,-89.0051,,1100,9:30,16:30,100000,http://4.17.232.139/parks/Miller-Park-Zoo/about-the-zoo.htm,
Milwaukee County Zoo,Milwaukee,WI,10001 W Bluemound Rd,43.0327,-88.0377,2500,200,9:00,16:30,1300000,http://www.milwaukeezoo.org/,
Minnesota Zoo,Apple Valley,MN,13000 Zoo Blvd,44.7678,-93.1967,4700,485,9:00,16:00,1300000,http://mnzoo.org/,
Moody Gardens,Galveston,TX,1 Hope Blvd,29.2727,-94.8513,9000,242,10:00,18:00,550000,http://www.moodygardens.com/,
Museum of Life and Science,Durham,NC,433 W Murray Ave,36.02884,-78.89863,,84,10:00,17:00,440000,http://www.lifeandscience.org/,
Museum of Science,Boston,MA,1 Science Pk,42.3677,-71.0709,100,,9:00,21:00,1500000,http://www.mos.org/,
